determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,gen_target_y@1,split,count,fidelity_score@1,fidelity_score@5,fidelity_score@10,fidelity_score@20,fidelity_gen_score@1,fidelity_gen_score@5,fidelity_gen_score@10,fidelity_gen_score@20,gen_cost,cost,gen_dataset_time,dataset_time,align_time,automata_learning_time
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,{8},"(None, 10, 0)",100,0.21,0.07,0.01,0.0,0.6,0.16,0.01,0.0,1.4166666666666667,1.0833333333333333,22.935233333333333,,1.8567833333333335,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,{9},"(None, 10, 0)",100,0.14,0.03,0.0,0.0,0.65,0.21,0.0,0.0,1.3384615384615384,1.123076923076923,22.92775384615385,,1.9195384615384616,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.2,1,"(1, 1, 1)",targeted,True,0.5,{0},"(None, 10, 0)",100,0.5,0.49,0.35,0.29,1.0,0.7,0.54,0.4,1.0,0.65,31.564379999999996,,8.245560000000001,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.2,1,"(1, 1, 1)",targeted,True,0.5,{1},"(None, 10, 0)",100,0.32,0.27,0.18,0.11,1.0,0.61,0.34,0.17,1.02,0.99,31.81003,,11.678000000000004,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.2,1,"(1, 1, 1)",targeted,True,0.5,{2},"(None, 10, 0)",100,0.28,0.17,0.15,0.11,0.9,0.39,0.31,0.17,1.2,1.1444444444444444,31.5563,,12.492633333333334,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.2,1,"(1, 1, 1)",targeted,True,0.5,{3},"(None, 10, 0)",100,0.6,0.46,0.4,0.28,1.0,0.56,0.43,0.33,1.0,0.52,31.921579999999995,,7.062520000000001,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.2,1,"(1, 1, 1)",targeted,True,0.5,{5},"(None, 10, 0)",100,0.33,0.18,0.07,0.01,1.0,0.41,0.18,0.01,1.03,0.95,31.539479999999998,,11.735249999999999,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.2,1,"(1, 1, 1)",targeted,True,0.5,{6},"(None, 10, 0)",89,0.11235955056179775,0.0,0.0,0.0,0.797752808988764,0.0,0.0,0.0,1.5633802816901408,1.295774647887324,31.44140845070422,,13.7377323943662,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{0},"(None, 10, 0)",100,0.53,0.53,0.38,0.32,1.0,0.74,0.54,0.44,1.0,0.6,40.592650000000006,,9.28952,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{1},"(None, 10, 0)",12,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.25,1.0,0.9166666666666666,40.40775,,16.727416666666667,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(2, 2, 2)",targeted,True,0.5,{0},"(None, 10, 0)",2,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,35.653,,17.805,
True,BERT4Rec,ml-100k,2048,20,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{0},"(None, 10, 0)",100,0.55,0.48,0.38,0.29,1.0,0.79,0.58,0.47,1.0,0.65,40.09503,,10.286039999999998,
