position,num_seqs,mean_precision,mean_ndgs,mean_jaccard,k,model,dataset,determinism,pop_size,generations,halloffame_ratio,allowed_mutations,timestamp
20,100,88.584,90.851,86.661,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
19,100,89.173,90.503,86.694,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
18,100,89.449,91.246,87.395,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
17,100,89.019,90.729,86.431,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
16,100,88.906,91.134,86.814,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
15,100,91.263,92.966,89.233,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
14,100,90.881,93.121,88.828,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
13,100,90.459,92.627,87.977,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
12,100,90.836,92.585,88.293,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
11,100,91.866,93.874,89.642,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
10,100,91.535,93.45,89.398,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
9,100,91.683,93.845,89.427,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
8,100,92.031,93.908,90.094,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
7,100,92.009,93.968,90.222,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
6,100,91.222,93.491,88.541,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
5,100,91.408,93.483,88.559,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
4,100,91.887,93.345,89.423,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
3,100,90.489,92.06,87.647,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
2,100,91.728,93.429,88.777,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
1,100,92.384,94.209,89.885,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
0,100,100.0,100.0,100.0,2,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')","Tue, 03 Dec 2024 12:23:36"
49,100,16.686,16.686,16.686,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
48,100,31.621,31.621,31.621,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
47,100,42.949,42.949,42.949,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
46,100,54.138,54.138,54.138,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
45,100,59.729,59.729,59.729,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
