determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,split,gen_target_y@1,fidelity_score@1,count,fidelity_score@5,fidelity_score@10,fidelity_score@20,fidelity_gen_score@1,fidelity_gen_score@5,fidelity_gen_score@10,fidelity_gen_score@20
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 5, 0)",{1},0.36,100,0.1,0.03,0.02,1.0,0.18,0.11,0.03
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 5, 0)",{2},0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 5, 5)",{0},0.44,100,0.2,0.16,0.1,1.0,0.33,0.19,0.1
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 5, 5)",{1},0.25,100,0.09,0.04,0.02,1.0,0.18,0.11,0.03
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 5, 5)",{2},0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(2, 2, 2)",targeted,True,0.5,"(None, 10, 0)",{0},0.52,100,0.52,0.38,0.31,1.0,0.79,0.57,0.41
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(2, 2, 2)",targeted,True,0.5,"(None, 10, 0)",{1},0.375,16,0.0625,0.0625,0.0625,1.0,0.6875,0.375,0.1875
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(3, 3, 3)",targeted,True,0.5,"(None, 10, 0)",{0},0.49,100,0.5,0.38,0.29,1.0,0.69,0.61,0.42
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,5,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{0},0.55,100,0.5,0.39,0.31,1.0,0.73,0.56,0.34
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,5,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{1},0.31958762886597936,97,0.21649484536082475,0.14432989690721648,0.10309278350515463,1.0,0.6082474226804123,0.32989690721649484,0.2268041237113402
True,BERT4Rec,ml-100k,2048,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"(0, None, 0)",{0},0.62,100,0.52,0.4,0.31,1.0,0.74,0.57,0.43
True,BERT4Rec,ml-100k,2048,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{0},0.62,100,0.52,0.4,0.31,1.0,0.74,0.57,0.43
True,BERT4Rec,ml-100k,2048,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{1},0.36,100,0.26,0.17,0.12,1.0,0.59,0.37,0.25
True,BERT4Rec,ml-100k,2048,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{2},0.16883116883116883,77,0.07792207792207792,0.025974025974025976,0.025974025974025976,0.8311688311688312,0.4025974025974026,0.24675324675324675,0.15584415584415584
True,BERT4Rec,ml-100k,2048,10,0,0.85,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{0},0.5,100,0.49,0.33,0.27,1.0,0.77,0.6,0.45
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{0},0.47,100,0.5,0.39,0.31,1.0,0.77,0.6,0.47
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{10},0.28,100,0.11,0.06,0.05,0.92,0.29,0.18,0.15
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{11},0.25,100,0.13,0.09,0.04,0.9,0.42,0.18,0.12
